title,type,country,release_year,rating,duration,genre,description
Masha's Spooky Stories,TV Show,United States,2012,G,1 Season,Kids' TV,Masha explains why there's no need to be scared of things like monsters the dark going to a new school thunder and other common childhood fears.
Masha's Tales,TV Show,,2012,G,1 Season,Kids' TV,Fairy tales get a funny twist when Masha retells them because she tends to get the details just a little jumbled up in this animated kids' series.
Monster High: Escape from Skull Shores,Movie,United States,2012,G,46 min,Children & Family Movies,A swanky cruise veers off course for Lagoona and her friends when they're left stranded on Skull Shores an island with a notorious beast.
Monster High: Ghouls Rule,Movie,United States,2012,G,71 min,Children & Family Movies,"After learning that monsters and ""Normies"" used to spend Halloween together Frankie Stein and her pals rally both groups for a frightfully good time."
Monster Math Squad,TV Show,Canada,2012,G,2 Seasons,Kids' TV,Max Lily and Goo love to put their minds together and use their math skills to overcome any obstacle even ones with two left feet or ten thumbs.
Nova: Ultimate Mars Challenge,Movie,United States,2012,G,53 min,Movies,With access to the scientists and engineers responsible for the Curiosity rover's on-the-ground experiments NOVA captures its landing on Mars.
Power Rangers Super Samurai,TV Show,,2012,G,1 Season,Kids' TV,The Samurai Power Rangers continue their battle against the evil Master Xandred who has now joined forces with the malevolent Serrator.
Power Rangers Super Samurai: Stuck on Christmas,Movie,United States,2012,G,24 min,Children & Family Movies,The Samurai Rangers get stuck in the Megazord's cockpit on Christmas Eve when it breaks down. Can the Rangers get out in time for Christmas?
Power Rangers Super Samurai: Trickster Treat,Movie,United States,2012,G,23 min,Movies,When a Nighlok invades the Samurai Rangers' dreams and turns them into nightmares the Rangers must figure out what is reality and what is illusion.
Radio Rebel,Movie,United States,2012,G,90 min,Children & Family Movies,Shy student Tara has a secret identity: She is smooth-talking Radio Rebel a DJ who lends her voice to all kids popular and unpopular alike.
Room on the Broom,Movie,United Kingdom,2012,G,26 min,Children & Family Movies,A gentle witch with a ginger braid offers rides to a variety of animals on her increasingly crowded broom much to her grumpy cat's chagrin.
Scooby-Doo!: Mystery Incorporated,TV Show,United States,2012,G,2 Seasons,Kids' TV,In this animated update of the cartoon classic Scooby-Doo Shaggy and their pals solve spooky mysteries in a hamlet bedeviled by supernatural bedlam.
The Minimighty Kids,TV Show,France,2012,G,2 Seasons,Kids' TV,Some have big feet or a sniffly nose others are clumsy or too sweaty – but these kids soon discover their mini problems can become superpowers.
忍者ハットリくん,TV Show,Japan,2012,G,2 Seasons,Anime,Hailing from the mountains of Iga Kanzo Hattori moves in with elementary school student Kenichi Mitsuba and his family to hone his skills as a ninja.
Alpha and Omega 2: A Howl-iday Adventure,Movie,United States,2013,G,45 min,Children & Family Movies,In this animated outdoor adventure wolf couple Humphrey and Kate face a crisis when one of their three cubs disappears without explanation.
Barbie & Her Sisters in a Pony Tale,Movie,United States,2013,G,74 min,Children & Family Movies,Barbie and her sisters set off on a Swiss adventure to the majestic Alps where they're excited to spend the summer at a fun-filled riding academy!
Beak & Brain: Genius Birds From Down Under,Movie,Germany,2013,G,52 min,Documentaries,"Whoever came up with the term ""bird brain"" never met these feathered thinkers who use their claws and beaks to solve puzzles make tools and more."
