title,type,country,release_year,rating,duration,genre,description
Bibik-Bibikku,TV Show,,2016,PG,1 Season,International TV Shows,When a busy mother and father realize they need help with their two young children they hire a series of maids often with humorous results.
Bondi Rescue,TV Show,Australia,2016,PG,1 Season,Reality TV,This reality series follows elite professional lifeguards on Sydney's Bondi Beach as they take on everything from animal stings to criminals.
Border Patrol,TV Show,,2016,PG,1 Season,Reality TV,This reality TV series follows the men and women of New Zealand's border patrol in their quest to keep their country safe and secure.
Bruno and Boots: Go Jump in the Pool,Movie,Canada,2016,PG,91 min,Children & Family Movies,To keep pal Boots from being sent to a rival school with better athletics prankster Bruno leads an epic campaign to build a pool at Macdonald Hall.
Chasing Monsters,TV Show,Canada,2016,PG,2 Seasons,Docuseries,Adventurer Cyril Chauquet seeks out the most colossal and dangerous underwater creatures around the world in this adrenaline-packed series.
Chasing Trane,Movie,United States,2016,PG,99 min,Documentaries,Featuring interviews insights and archival footage this documentary aims to reveal how historical events shaped the music of John Coltrane.
Cheer Squad,TV Show,United States,2016,PG,1 Season,Reality TV,Follow the Great White Sharks a world-champion cheerleading squad as they juggle the pressures of training school work and relationships.
Cinderella and the Four Knights,TV Show,South Korea,2016,PG,1 Season,International TV Shows,Catching the eye of a wealthy gentleman spunky Ha-won gets hired to live with his three immature grandsons so she can whip them into shape.
Cinta Teruna Kimchi,TV Show,,2016,PG,1 Season,International TV Shows,When a young man determines to discover his father's true identity he faces unexpected realizations that shake his sense of self.
City in the Sky,TV Show,United Kingdom,2016,PG,1 Season,British TV Shows,This series explores the magnitude and scale of modern air travel and the challenges faced by those responsible for its smooth functioning.
Dancing Angels,TV Show,,2016,PG,1 Season,International TV Shows,A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship romance and life at school.
Dangal,Movie,India,2016,PG,161 min,Dramas,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.
Dérè: An African Tale,TV Show,,2016,PG,1 Season,International TV Shows,After experiencing a tragic loss a woman must resist a new family dynamic that could control the future of her father's company and her life.
Ekşi Elmalar,Movie,Turkey,2016,PG,109 min,Dramas,In an eastern Turkish town suitors knock on the door of the mayor and father of three beautiful daughters who choose to follow their own paths.
El Viaje: Márama y Rombai,Movie,,2016,PG,79 min,Children & Family Movies,Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.
Elles ont toutes une histoire,Movie,,2016,PG,49 min,Documentaries,From Asia Africa and Latin America five women share extraordinary stories of strength and determination in the face of violence and inequality.
Emma' (Mother),Movie,Indonesia,2016,PG,74 min,Dramas,In 1950s Makassar the life of a devoted mother is upended when another woman enters her husband's life.
Extremis,Movie,United States,2016,PG,25 min,Documentaries,Witness the wrenching emotions that accompany end-of-life decisions as doctors patients and families in a hospital ICU face harrowing choices.
Figures of Speech,Movie,United States,2016,PG,92 min,Documentaries,In this documentary passionate high schoolers travel the country and come of age during a turbulent yearlong prep for a national speech competition.
Forces of Nature,TV Show,United Kingdom,2016,PG,1 Season,British TV Shows,This dynamic series spans the globe to explain the complex natural forces that govern the planet from shape and color to motion and the elements.
Froning: The Fittest Man in History,Movie,United States,2016,PG,99 min,Documentaries,Follow the grueling training regimen of Rich Froning Jr. as he sets his sights on winning an unprecedented fourth CrossFit Games title.
Galavant,TV Show,United States,2016,PG,2 Seasons,TV Action & Adventure,In a time of legend Galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy.
Genius of the Modern World,TV Show,United Kingdom,2016,PG,1 Season,British TV Shows,Historian Bettany Hughes explores the intellectual landscapes that helped shape the work of Karl Marx Friedrich Nietzsche and Sigmund Freud.
God Knows Where I Am,Movie,United States,2016,PG,103 min,Documentaries,Through diary entries this documentary follows the life and death of homeless woman Linda Bishop and her struggles with starvation sanity and God.
Great Interior Design Challenge,TV Show,United Kingdom,2016,PG,2 Seasons,British TV Shows,In this reality series amateur interior designers on tight budgets test their mettle transforming rooms with speed and style.
Greater,Movie,United States,2016,PG,131 min,Children & Family Movies,Faith and determination transform a talentless football player at the University of Arkansas into an All-American in this inspiring true story.
Growing Up Coy,Movie,United States,2016,PG,82 min,Documentaries,Filmmakers follow a Colorado family's highly public battle for the rights of their transgender daughter Coy in a landmark civil rights case.
Hajwala: The Missing Engine,Movie,United Arab Emirates,2016,PG,97 min,Action & Adventure,A competitive streetcar racer's obsession with winning drive him to develop a vehicle with an innovative engine that's never been used before.
Hedgehogs,Movie,United States,2016,PG,94 min,Children & Family Movies,When a hedgehog suffering from memory loss forgets his identity he ends up on a big city journey with a pigeon to save his habitat from a human threat.
Highway Thru Hell,TV Show,Canada,2016,PG,3 Seasons,Reality TV,On the hazardous highways of Canada's interior heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.
History's Greatest Hoaxes,TV Show,Australia,2016,PG,1 Season,British TV Shows,Using previously unseen footage this documentary series offers new insights into some of the biggest scams and forgeries in human history.
Hitler's Olympics,Movie,United Kingdom,2016,PG,44 min,Documentaries,Hitler Nazi propaganda and 1936 Berlin Olympics are put under the microscope to uncover hidden truths and the historical legacy of those games.
How to Win the US Presidency,Movie,United States,2016,PG,51 min,Documentaries,This whimsical look at rough-and-tumble American politics examines the influence of money religion and even ancient Rome on presidential campaigns.
I Am Bolt,Movie,United Kingdom,2016,PG,107 min,Documentaries,Mixing archival footage with present-day interviews Olympic champion and global icon Usain Bolt opens up about his athletic legacy.
In Laws,TV Show,,2016,PG,1 Season,International TV Shows,Once domineered by her own mother a well-meaning matriarch has trouble being lax with her children especially when her daughter-in-law moves in.
Influx,Movie,United Kingdom,2016,PG,90 min,Documentaries,Italians in London reveal the ups and downs of immigration and touch upon their uneasiness about leaving behind their crisis-ridden homeland.
Into the Inferno,Movie,United Kingdom,2016,PG,107 min,Documentaries,With stunning views of eruptions and lava flows Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices.
Kung Fu Panda: Secrets of the Scroll,Movie,United States,2016,PG,23 min,Children & Family Movies,When a twist of fate brings five unlikely animals together they find that combining their unique kung fu styles as a team makes the perfect weapon!
Lakeeran,Movie,India,2016,PG,111 min,Dramas,Guilt-ridden over his involvement in a fatal car accident a young ex-pat returns to Punjab falling for a woman who carries traumas of her own.
Leap!,Movie,France,2016,PG,89 min,Children & Family Movies,Félicie and Victor two young friends in 1880s France escape from an orphanage to pursue their dreams in Paris the glittering City of Lights.
LEGENDS OF THE HIDDEN TEMPLE,Movie,United States,2016,PG,68 min,Children & Family Movies,A trio of siblings gets trapped in a secret temple where they must navigate a risky obstacle course to make it out. Inspired by the ‘90s game show.
Life Plan A and B,TV Show,Taiwan,2016,PG,1 Season,International TV Shows,Two parallel life paths begin for a man and woman in love after she is offered a lucrative promotion far away and must choose between love and career.
Little Men,Movie,United States,2016,PG,85 min,Dramas,Jake and Tony become friends when Jake's dad inherits a home above Tony's mother's shop. Friendship is tested when Jake's dad raises the shop's rent.
Lucha: Playing the Impossible,Movie,Argentina,2016,PG,98 min,Documentaries,"Known simply as ""Lucha "" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world."
Magic Phone,TV Show,South Korea,2016,PG,1 Season,International TV Shows,When an ordinary guy crosses paths 15 years later with his childhood sweetheart now an actress a magic cellphone allows him to be her protector.
Magnus,Movie,Norway,2016,PG,75 min,Children & Family Movies,This dramatic documentary explores the life and mind of Magnus Carlsen the charismatic Norwegian prodigy who became world chess champion.
Marvel's Hulk: Where Monsters Dwell,Movie,United States,2016,PG,75 min,Children & Family Movies,On Halloween the Hulk and Dr. Strange battle monsters wreaking havoc on New York and uncover an evil plot by Nightmare ruler of the Dream Dimension.
Maya Angelou: And Still I Rise,Movie,United States,2016,PG,114 min,Documentaries,Poet and civil rights activist Maya Angelou is celebrated using her own words set over rare photographs and video illustrating her remarkable life.
Meet the Adebanjos,TV Show,United Kingdom,2016,PG,3 Seasons,British TV Shows,In South London tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family.
Mexico Diseña,TV Show,United States,2016,PG,1 Season,International TV Shows,Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.
Middle School: The Worst Years of My Life,Movie,United States,2016,PG,92 min,Children & Family Movies,At Hills Village Middle School budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook.
Monkey Up,Movie,Canada,2016,PG,83 min,Children & Family Movies,A talking monkey famous for his TV commercials dreams of breaking into real movies. But first he stumbles upon a brother and sister who need his help.
Motor Mitraan Di,Movie,India,2016,PG,117 min,Comedies,When three brothers unwittingly get entangled in a murder associated with a fraudulent ashram leader they set out to expose him to society as a fake.
Moving On,TV Show,,2016,PG,1 Season,International TV Shows,Family problems relationship issues and professional challenges dog law graduate Melissa Chan following her return from London to Malaysia.
My Little Baby,TV Show,South Korea,2016,PG,1 Season,Crime TV Shows,A top detective in the violent crimes unit becomes the sole guardian of his 6-month-old niece when his sister and her husband pass away unexpectedly.
Naga The Eternal Yogi,Movie,Italy,2016,PG,73 min,Documentaries,This documentary examines the naked yoga gurus of India whose devout spiritual practice connects them to the eternal transcending the material world.
Naledi: A Baby Elephant's Tale,Movie,United States,2016,PG,91 min,Documentaries,Scientists and animal keepers fight to save an orphaned baby elephant at a rescue camp in Botswana while struggling to defend its entire species.
Nature's Great Race,TV Show,United Kingdom,2016,PG,1 Season,British TV Shows,Epic footage captures three of the world's most significant land migrations following elephants caribou and zebras on their treacherous journeys.
Nazi Mega Weapons,TV Show,United States,2016,PG,3 Seasons,Docuseries,This documentary series examines Nazi Germany's military hardware defenses and technology including fortifications U-boats and ballistic missiles.
No Tomorrow,TV Show,United States,2016,PG,1 Season,Romantic TV Shows,Her straitjacketed life turned topsy-turvy by hunky Xavier Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.
Notes on Blindness,Movie,United Kingdom,2016,PG,87 min,Documentaries,Based on the audio diaries of academic and theologian John Hull this film offers an impressionistic re-creation of his slow descent into blindness.
One Day,Movie,Thailand,2016,PG,135 min,Dramas,When his colleague (and crush) temporarily loses her memory an overlooked geek seizes the chance to make an impression before she remembers again.
Pee-wee's Big Holiday,Movie,United States,2016,PG,90 min,Children & Family Movies,A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!
Ratchet and Clank,Movie,Hong Kong,2016,PG,94 min,Children & Family Movies,Affable alien Ratchet longs to be a Galactic Ranger and might get the chance when rogue robot Clank tells him of evil Drek's plot to destroy a galaxy.
Refugee,Movie,,2016,PG,24 min,Documentaries,Five acclaimed photographers travel the world to provide detailed insight into the difficult conditions faced by refugees who dream of a better life.
Roots,Movie,,2016,PG,62 min,Documentaries,This documentary explores the rich heritage of Indian classical music and the reasons behind its modern decline in popularity.
Royal Pains,TV Show,United States,2016,PG,8 Seasons,TV Comedies,Dr. Hank Lawson unexpectedly gets a career upgrade as a freelance physician treating New York's aristocratic upper crust in their posh Hamptons homes.
Sand Storm,Movie,Israel,2016,PG,88 min,Dramas,When a Bedouin patriarch takes a second bride his first wife chafes against her changing status while his daughter chases her own dreams of autonomy.
Sardaarji 2,Movie,Australia,2016,PG,145 min,Action & Adventure,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.
Secrets of Great British Castles,TV Show,United Kingdom,2016,PG,2 Seasons,British TV Shows,Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.
Shortcut Safari,Movie,India,2016,PG,101 min,Action & Adventure,Unexpected wildlife adventures and valuable life lessons await seven city kids when they suddenly become lost in the forest during a school field trip.
Silicon Cowboys,Movie,United States,2016,PG,77 min,Documentaries,This documentary tells the story of Compaq Computer and its three founders who in 1982 took on Goliath IBM at the height of its PC dominance.
Spark,TV Show,South Korea,2016,PG,1 Season,International TV Shows,A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?
SuperNature: Wild Flyers,TV Show,United Kingdom,2016,PG,1 Season,British TV Shows,This series examines the aerodynamics of flight and the evolutionary processes that have enabled certain species to survive by taking to the skies.
Teshan,Movie,India,2016,PG,133 min,Comedies,New beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas.
The Beginning of Life,Movie,,2016,PG,96 min,Documentaries,Scientists advocates and parents around the world explore how carefully tending to kids' earliest needs can shape the course of human society.
The Beginning of Life: The Series,TV Show,Brazil,2016,PG,1 Season,Docuseries,Using breakthroughs in technology and neuroscience this series examines how environment affects infants – and how infants can affect our future.
The BFG,Movie,United States,2016,PG,118 min,Children & Family Movies,A little orphan meets up with a kind giant who's supposed to eat her but instead protects her from some truly horrible giants who terrorize them both.
The Christmas Project,Movie,United States,2016,PG,92 min,Children & Family Movies,Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way.
The Curse of Oak Island,TV Show,United States,2016,PG,1 Season,Docuseries,On an ominous island off of Nova Scotia two brothers chase historical theories on a quest for enigmatic treasure.
The Eighties,TV Show,United States,2016,PG,1 Season,Docuseries,This nostalgic documentary series relives the 1980s from a variety of angles exploring its impact on the politics technology and culture of today.
The Free Man,Movie,New Zealand,2016,PG,84 min,Documentaries,Olympic freestyle skier Jossi Wells learns the dangerous extreme sport of highlining with help from death-defying daredevils the Flying Frenchies.
The Mind of a Chef,TV Show,United States,2016,PG,5 Seasons,Docuseries,Producer and narrator Anthony Bourdain explores the creative processes of international celebrity chefs to learn what fuels their culinary artistry.
The Missing Menu,TV Show,,2016,PG,1 Season,International TV Shows,A single mom and skilled chef yearns for her children to settle down and offers them life lessons through the special dishes she creates.
The White Helmets,Movie,United Kingdom,2016,PG,41 min,Documentaries,As daily airstrikes pound civilian targets in Syria a group of indomitable first responders risk their lives to rescue victims from the rubble.
The Women's Balcony,Movie,Israel,2016,PG,100 min,Comedies,A conservative rabbi steps in to lead a congregation reeling from an accident but his controversial plans incite a gender war among the congregation.
Theater of Life,Movie,Canada,2016,PG,94 min,Documentaries,This documentary follows chef Massimo Bottura as he opens a soup kitchen to cook gourmet meals for the needy from food waste at the 2015 Milan Expo.
Trio and a Bed,TV Show,,2016,PG,1 Season,International TV Shows,After graduation three women from distinct backgrounds find themselves in the real world facing the challenges of work romance and unexpected fame.
Tundukkan Playboy Itu,TV Show,,2016,PG,1 Season,International TV Shows,Under pressure from his parents to settle down a pleasure-seeking playboy falls for a woman who's like nobody he's ever met.
Vikings Unearthed,Movie,United States,2016,PG,113 min,Documentaries,Archaeologist Sarah Parcak follows clues to early Viking explorations and discusses just what these notoriously fierce warriors were really like.
Vince and Kath and James,Movie,Philippines,2016,PG,115 min,International Movies,Love can be complicated especially when Vince agrees to secretly woo Kath via text on behalf of James – while falling for her too.
Weird Wonders of the World,TV Show,United Kingdom,2016,PG,2 Seasons,British TV Shows,From animal oddities and bizarre science to medical marvels scientists and experts examine some of the world's strangest mysteries and phenomena.
You're Everything To Me,Movie,Turkey,2016,PG,107 min,Comedies,When an old fling shows up with their infant child a dallying man-child must take on the role of father and create a fairytale world for his daughter.
Yunus Emre,TV Show,Turkey,2016,PG,2 Seasons,International TV Shows,During the Mongol invasions Yunus Emre leaves his home to travel across the Ottoman Empire defying hardships and temptations to become a dervish.
Zipi & Zape y la Isla del Capitan,Movie,Spain,2016,PG,105 min,Children & Family Movies,At Christmas Zip and Zap take a trip with their parents to a remote island where a friendly woman runs a children's home and mystery awaits.
89,Movie,United Kingdom,2017,PG,87 min,Sports Movies,Mixing old footage with interviews this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.
A Christmas Prince,Movie,United States,2017,PG,92 min,Children & Family Movies,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.
A House of Blocks,TV Show,Taiwan,2017,PG,1 Season,International TV Shows,Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune criminal intrigue marital strife an exorcism and a ghost.
A Witches' Ball,Movie,Canada,2017,PG,91 min,Children & Family Movies,Beatrix can't wait to be inducted as a witch but an unfortunate incident threatens to take her pending title away if she doesn't act fast.
Abnormal Summit,TV Show,South Korea,2017,PG,2 Seasons,International TV Shows,Led by a trio of Korean celebs a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond.
Afronta! Facing It!,TV Show,Brazil,2017,PG,1 Season,Docuseries,This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation entrepreneurship and community.
Age of Tanks,TV Show,Germany,2017,PG,1 Season,Docuseries,The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.
Alien Contact: Outer Space,Movie,United States,2017,PG,63 min,Documentaries,This fact-based account delves into humankind's efforts to gather signals from possible intelligent beings beyond the solar system.
Amelia: A Tale of Two Sisters,Movie,United Kingdom,2017,PG,44 min,Documentaries,Eight decades after her disappearance Amelia Earhart's incredible accomplishments are still celebrated thanks in large part to her sister Muriel.
Ask the Doctor,TV Show,Australia,2017,PG,1 Season,Docuseries,From allergies to diet to sleep three friendly doctors share expert advice bust medical myths and test the latest treatments.
Betting on Zero,Movie,United States,2017,PG,104 min,Documentaries,This documentary dives into the complex world of Herbalife the international nutritional products company accused of being a pyramid scheme.
Bigger Fatter Liar,Movie,United States,2017,PG,95 min,Children & Family Movies,When his video game concept is stolen by a dishonest executive a teenage chronic liar sets out to prove that he's telling the truth for once.
Bill Nye: Science Guy,Movie,United States,2017,PG,97 min,Documentaries,The dynamic bow-tied host behind the young adult science show faces climate-change skeptics as he demonstrates the importance of scientific evidence.
Brian Regan: Nunchucks and Flamethrowers,Movie,United States,2017,PG,61 min,Stand-Up Comedy,Brian Regan takes relatable family humor to new heights as he talks board games underwear elastic and looking for hot dogs in all the wrong places.
Bruno and Boots: The Wizzle War,Movie,Canada,2017,PG,90 min,Children & Family Movies,Fed up with weird dress codes and wacky punishments the students of neighboring schools face off against two recently hired oddball authoritarians.
Bruno and Boots: This Can't Be Happening at Macdonald Hall,Movie,Canada,2017,PG,90 min,Children & Family Movies,The biggest troublemakers at Macdonald Hall are Bruno and Boots who are caught and face an unthinkable punishment: separation into different dorms.
Bure Kaam Bura Natija Kyun Bhai Chacha Haan Bhatija,TV Show,,2017,PG,1 Season,Kids' TV,A clever uncle-nephew duo solves mysteries crimes and other problems for the citizens of a colorful town where something zany is always going down.
Cabins in the Wild with Dick Strawbridge,TV Show,United Kingdom,2017,PG,1 Season,British TV Shows,Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales and construct No. 9 on their own.
Cappuccino,Movie,India,2017,PG,126 min,Comedies,Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha a woman he soon falls in love with.
Chasing Coral,Movie,United States,2017,PG,89 min,Documentaries,Divers scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.
Chef & My Fridge,TV Show,South Korea,2017,PG,2 Seasons,International TV Shows,The best chefs of Korea go head-to-head to create impromptu dishes that feature ingredients found inside the guest stars' very own refrigerators.
Christmas in the Heartland,Movie,United States,2017,PG,112 min,Dramas,Two girls realize they're both visiting grandparents they’ve never met and decide to switch places to see how the other half lives.
Christmas Wedding Planner,Movie,Canada,2017,PG,86 min,Comedies,A wedding planner’s world is turned upside down when a handsome private investigator is hired to disrupt one of her biggest jobs.
Coffee for All,Movie,Italy,2017,PG,69 min,Documentaries,"In Naples Buenos Aires and New York people reflect on the Neapolitan tradition of ""suspended coffee"" and how it changed their lives."
Coffee with D,Movie,India,2017,PG,120 min,Comedies,Low TV ratings drive a well-known journalist to concoct a plan to interview a notorious underworld figure who is also a suspected terrorist.
Command and Control,Movie,United States,2017,PG,92 min,Documentaries,Chronicling a 1980 Titan II missile accident this sobering documentary weighs the balance of power and safety involving weapons of mass destruction.
Cop and a Half: New Recruit,Movie,Canada,2017,PG,96 min,Children & Family Movies,A world-weary detective is forced to team up with a 12-year-old who thinks she's a cop in order to solve a case that's baffled police.
Dance Academy: The Comeback,Movie,Germany,2017,PG,100 min,Dramas,In this adaptation of the TV series Tara recovers from injury and pursues a career in the U.S. where she grapples with love and professional rejection.
Devlok with Devdutt Pattanaik,TV Show,India,2017,PG,1 Season,International TV Shows,Through chats with host Rasika Dugal mythologist Devdutt Pattanaik explores the meaning and modern-day relevance of Indian folklore and philosophy.
Diana: 7 Days That Shook the World,Movie,United Kingdom,2017,PG,93 min,Documentaries,This illuminating documentary examines the aftermath of Princess Diana’s tragic death and the tense dramatic week leading up to her funeral.
Diana: In Her Own Words,Movie,United Kingdom,2017,PG,113 min,Documentaries,Featuring archival footage and personal recordings this documentary offers candid insight into the life of the beloved princess.
Doob: No Bed of Roses,Movie,Bangladesh,2017,PG,104 min,Dramas,As a noted filmmaker’s infidelity becomes a media firestorm his fractured family privately navigates the fallout of his actions for years to come.
Down The Fence,Movie,United States,2017,PG,94 min,Documentaries,The human-equine bond propels the unique and challenging sport of reined cow horse in which dedicated trainers compete for the national championship.
Dries,Movie,Germany,2017,PG,89 min,Documentaries,This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world.
Emogenius,TV Show,United States,2017,PG,1 Season,Reality TV,Two pairs of contestants go head-to-head for several rounds deciphering puzzles and messages comprised of emojis for a chance at a $10 000 prize.
Expedition Happiness,Movie,Germany,2017,PG,96 min,Documentaries,A filmmaker and his musician girlfriend attempt an epic road trip with their dog traveling across North America in a refurbished school bus.
FINAL FANTASY XIV Dad of Light,TV Show,Japan,2017,PG,1 Season,International TV Shows,A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.
Fireworks,Movie,Japan,2017,PG,91 min,Anime,Middle schooler Nazuna desperately wants to run away with her classmate Norimichi who somehow turns back time on this fateful summer's day.
Food: Delicious Science,TV Show,,2017,PG,1 Season,Docuseries,In this series TV presenter Michael Mosley and botanist James Wong explore the physics chemistry and biology inside every bite of food we eat.
Friday Night Tykes,TV Show,United States,2017,PG,4 Seasons,Docuseries,This docuseries dives into the cutthroat world of Texas youth football where kids face grueling demands and pressure from coaches and parents to win.
FullMetal Alchemist,Movie,Japan,2017,PG,134 min,Action & Adventure,While alchemist Edward Elric searches for a way to restore his brother Al's body the military government and mysterious monsters are watching closely.
Galih dan Ratna,Movie,Indonesia,2017,PG,111 min,Dramas,Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.
Gender Revolution: A Journey with Katie Couric,Movie,United States,2017,PG,90 min,Documentaries,Katie Couric explores our evolving understanding of gender identity speaking with transgender and intersex individuals about their experiences.
GRANBLUE FANTASY the Animation,TV Show,Japan,2017,PG,1 Season,Anime,In a world where islands float in the sky Gran encounters a mysterious girl wanted by the Erste Empire for her ability to summon Primal Beasts.
Great Yellowstone Thaw,TV Show,United Kingdom,2017,PG,1 Season,Docuseries,This series explores the effects of the extreme temperature variations at Yellowstone National Park on the animals that live there.
Haters Back Off,TV Show,United States,2017,PG,2 Seasons,TV Comedies,Determined to make it big the confident but clueless Miranda Sings embarks on an unlikely quest for fame in this offbeat comedy.
Hey Arnold! The Jungle Movie,Movie,United States,2017,PG,81 min,Children & Family Movies,When Arnold and his crew win a trip to San Lorenzo their adventure in the wild forces them to take the same risky path as Arnold's missing parents.
Hostages,Movie,,2017,PG,91 min,Documentaries,Witnesses recount the shocking 1996 hostage crisis in Lima Peru where rebels held scores of high-level figures captive at an ambassador's residence.
How the Beatles Changed the World,Movie,United States,2017,PG,110 min,Documentaries,Interviews and rare archival footage illuminate how the Beatles' influence over music and culture continues to be felt around the world.
ID-0,TV Show,Japan,2017,PG,1 Season,Anime,In the midst of a field exercise operating I-Machines Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure.
Jackie: A Tale of Two Sisters,Movie,United Kingdom,2017,PG,44 min,Documentaries,Rachael Stirling narrates this multifaceted portrait of former First Lady Jacqueline Kennedy Onassis and her younger sister Lee Radziwill.
JFK: The Making of a President,Movie,United Kingdom,2017,PG,44 min,Documentaries,Explore how John F. Kennedy's worldview was influenced by his younger years when he endured poor health family tragedy and a demanding father.
Kaaliyan,Movie,India,2017,PG,105 min,Dramas,An aggressive wayward fisherman abandons his wife and daughters who grow up to face the consequences of their father's mistakes.
Kanavu Variyam,Movie,India,2017,PG,104 min,Comedies,Despite doubts from fellow villagers who think he’s crazy an ambitious dropout commits himself to solving a persistent local electricity crisis.
Kantaro: The Sweet Tooth Salaryman,TV Show,Japan,2017,PG,1 Season,International TV Shows,Elite publishing sales rep Kantaro wraps up his client visits in record time so he can secretly pursue his quest to indulge in the tastiest of sweets.
Kartini: Princess of Java,Movie,Indonesia,2017,PG,118 min,Dramas,A woman of nobility battles patriarchal norms in order to improve educational access for women in early 1900s Indonesian society.
Kung Fu Yoga,Movie,China,2017,PG,107 min,Action & Adventure,Two mismatched archaeologists battle a team of vicious mercenaries in a race to discover an ancient Tibetan treasure of unimaginable worth.
Legends of Strength,TV Show,United States,2017,PG,1 Season,Docuseries,From a circus entertainer to a grip master meet the bodybuilding heroes who defied physical limits and redefined the meaning of strength.
Limitless,Movie,India,2017,PG,59 min,Documentaries,This documentary follows eight women in India who struggle with self-confidence and society's expectations but rediscover themselves through running.
Lost in London,Movie,Nigeria,2017,PG,86 min,Comedies,Nigerian students Okon and Bona experience culture shock – several shocks really – after being selected for an exchange program in London.
Love and Hong Kong,TV Show,Japan,2017,PG,1 Season,International TV Shows,The lives of five strangers become intertwined forever when a starlet filming a documentary is kidnapped on the streets of Hong Kong.
Lu Over the Wall,Movie,Japan,2017,PG,113 min,Anime,Middle schooler Kai's depressing life in a boring fishing village changes drastically when a local mermaid named Lu joins his band.
Maacher Jhol,Movie,India,2017,PG,107 min,Dramas,On his first visit to his home city of Kolkata in 13 years a Paris-based chef is faced with a cooking challenge that will change his life forever.
Mala Kahich Problem Nahi,Movie,India,2017,PG,132 min,Dramas,With their relationship running on autopilot a discontent husband and wife must confront their issues while on a trip with the extended family.
Martin Luther: The Idea that Changed the World,Movie,United States,2017,PG,55 min,Documentaries,"This docudrama tells the dramatic story of the monk who took on the Catholic Church tracing his life before and after the contentious ""95 Theses."""
Mary and the Witch's Flower,Movie,Japan,2017,PG,103 min,Anime,Ordinary girl Mary picks an extraordinary flower and travels to Endor College a school for magic. But its foremost teachers have a sinister plan.
Maynard,Movie,United States,2017,PG,100 min,Documentaries,Friends family and political titans recall the impact of Atlanta's Maynard Jackson the first African-American mayor of a major Southern city.
Meditation Park,Movie,Canada,2017,PG,94 min,Dramas,An elderly immigrant matriarch from Hong Kong finally begins to break out of her shell of isolation when she suspects her husband of infidelity.
Meet the In-Laws,Movie,Nigeria,2017,PG,75 min,Comedies,When their respective parents oppose their union a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences.
Melle,Movie,India,2017,PG,110 min,Dramas,After recovering from a tragic experience a young woman makes a journey to her father's homeland and falls in love with a kind-hearted doctor.
Menashe,Movie,United States,2017,PG,82 min,Dramas,A year after his wife's death a widower faces pressure from his Hasidic community to give up his son for adoption unless he finds a new partner.
Michael Lost and Found,Movie,Canada,2017,PG,19 min,Documentaries,Benjie Nycum travels to Wyoming to visit his ex-lover Michael Glatze a former gay activist who now lives with his wife and works as a church pastor.
Monster Family,Movie,Germany,2017,PG,93 min,Children & Family Movies,A family’s festive Halloween plans take a spooky turn when an evil witch's curse transforms the costumed clan into actual monsters.
Mountain,Movie,Australia,2017,PG,74 min,Action & Adventure,Featuring breathtaking imagery and thought-provoking narration this film takes viewers to the summits of some of the world’s most amazing mountains.
Mutant Busters,TV Show,Spain,2017,PG,2 Seasons,Kids' TV,After a natural disaster known as the Big Fart leaves Earth divided only Sheriff and his rebel misfits can protect the planet from a mutant invasion.
